numberOfQuestion;numberOfCategory;question;answer1;answer2;answer3;answer4;correctAnswer;score
142;8;Cum se numește structura ADN-ului sub forma unei duble spirale?;Heliox;Dublă spirală;Triplex;Globulă;2;10000
143;8;Ce element stă la baza proteinelor?;Carbon;Azot;Oxigen;Fosfor;2;10000
144;8;Cine a descoperit penicilina?;Fleming;Pasteur;Koch;Mendel;1;10000
145;8;Ce proces are loc în mitocondrii?;Sinteza proteinelor;Producerea energiei;Diviziunea nucleului;Fotosinteza;2;10000
146;8;Care este cel mai ușor gaz?;Oxigen;Hidrogen;Azot;Heliu;2;10000
147;8;Câte perechi de nervi spinali are omul?;31;30;33;28;1;10000
148;8;Cum se numește procesul prin care o substanță solidă trece direct în stare gazoasă?;Evaporare;Sublimare;Condensare;Topire;2;10000
149;8;Ce element are simbolul Na?;Potasiu;Sodiu;Azot;Neon;2;10000
150;8;Cine a descoperit structura atomului?;Rutherford;Newton;Bohr;Mendeleev;1;10000
151;8;Ce organ reglează temperatura corpului?;Ficat;Hipotalamus;Rinichi;Inimă;2;10000
152;8;Ce proces are loc în timpul diviziunii nucleului?;Meioză;Diviziune nucleară;Fotosinteză;Difuzie;2;10000
153;8;Ce se măsoară în herți?;Forță;Frecvență;Energie;Masă;2;10000
154;8;Care este cel mai cald ocean în medie?;Atlantic;Indian;Pacific;Arctic;2;10000
155;8;Ce element este esențial pentru oase?;Fier;Calciu;Sodiu;Potasiu;2;10000
156;8;Care este unitatea de măsură a energiei?;Watt;Joule;Newton;Ohm;2;10000
157;8;Cine a descoperit radioactivitatea?;Becquerel;Rutherford;Faraday;Curie;1;10000
158;8;Ce proces descrie mișcarea moleculelor?;Difuzie;Inerție;Gravitație;Magnetism;1;10000
159;8;Ce vitamină este sintetizată de piele?;A;B;C;D;4;10000
160;8;Câte faze are mitoza?;2;4;6;8;2;10000
161;9;Care lege descrie radiația corpului negru?;Legea lui Boyle;Legea lui Planck;Legea lui Coulomb;Legea lui Newton;2;20000
162;9;Ce element are cea mai mare electronegativitate?;Oxigen;Fluor;Azot;Clor;2;20000
163;9;Ce proces este însoțit de scăderea entropiei?;Evaporare;Cristalizare;Difuzie;Ardere;2;20000
164;9;Cine a elaborat teoria cuantică?;Planck;Newton;Einstein;Faraday;1;20000
165;9;Ce tip de legătură există în molecula de apă?;Ionică;Covalentă polară;Metalică;Legătură de hidrogen;2;20000
166;9;Câți aminoacizi intră în structura proteinelor umane?;10;20;30;40;2;20000
167;9;Ce organit este responsabil de detoxifierea celulei?;Lizozom;Reticul endoplasmatic neted;Nucleu;Ribozom;2;20000
168;9;Ce este dezintegrarea beta?;Dezintegrarea nucleului cu emisia unui electron;Topire;Evaporare;Difuzie;1;20000
169;9;Care lege leagă presiunea și temperatura unui gaz?;Legea lui Charles;Legea lui Gay-Lussac;Legea lui Boyle;Legea lui Ohm;2;20000
170;9;Cine a descoperit neutronul?;Chadwick;Rutherford;Bohr;Planck;1;20000
171;9;Care este elementul cel mai abundent în scoarța terestră?;Oxigen;Siliciu;Aluminiu;Fier;1;20000
172;9;Ce proces are loc în faza luminoasă a fotosintezei?;Sinteza proteinelor;Formarea ATP;Respirație;Hidroliză;2;20000
173;9;Ce tip de radiație are cea mai mare energie?;Unde radio;Ultravioletă;Radiație gamma;Infraroșie;3;20000
174;9;Câți neutroni are carbonul-14?;6;7;8;9;3;20000
175;9;Ce este dezintegrarea izotopică?;Reacție chimică;Transformare nucleară;Topire;Difuzie;2;20000
176;9;Ce element este utilizat în reactoarele nucleare?;Uraniu;Fier;Cupru;Plumb;1;20000
177;9;Cum se numește procesul de dublare a ADN-ului?;Transcripție;Replicare;Translație;Mutație;2;20000
178;9;Care constantă este asociată cu viteza luminii?;Constanta lui Planck;Constanta lui Einstein;Constanta lui Boltzmann;Constanta lui Avogadro;2;20000
179;9;Care ocean are cea mai mare adâncime?;Atlantic;Pacific;Indian;Arctic;2;20000
180;9;Ce proces stă la baza funcționării laserului?;Evaporare;Emisie stimulată;Difuzie;Condensare;2;20000
181;10;Care lege descrie relația dintre energie și masă?;Legea lui Newton;Ecuația lui Einstein (E=mc²);Legea lui Planck;Modelul lui Bohr;2;50000
182;10;Ce element are cea mai mare masă atomică dintre elementele stabile?;Plumb;Bismut;Uraniu;Mercur;2;50000
183;10;Ce proces stă la baza reacției nucleare în lanț?;Ionizare;Fisiune nucleară;Fuziune nucleară;Difuzie;2;50000
184;10;Ce proteină transportă oxigenul în sânge?;Albumină;Hemoglobină;Insulină;Fibrină;2;50000
185;10;Care lege descrie presiunea lichidului în funcție de adâncime?;Legea lui Pascal;Legea lui Arhimede;Legea lui Ohm;Legea lui Newton;1;50000
186;10;Câte tipuri de nucleotide există în ADN?;2;3;4;5;3;50000
187;10;Ce proces are loc în stele precum Soarele?;Ardere chimică;Fuziune termonucleară;Topire;Oxidare;2;50000
188;10;Ce se întâmplă la dezintegrarea alfa?;Numărul de protoni scade cu 2;Masa crește;Elementul devine gaz;Nu se schimbă nimic;1;50000
189;10;Cine a formulat principiul incertitudinii?;Bohr;Heisenberg;Planck;Einstein;2;50000
190;10;Ce organ reglează nivelul glucozei din sânge?;Ficat;Pancreas;Rinichi;Inimă;2;50000
191;10;Ce proces descrie trecerea electronului între nivelurile energetice?;Difuzie;Tranziție cuantică;Evaporare;Reacție chimică;2;50000
192;10;Care gaz are cea mai mică densitate?;Azot;Hidrogen;Oxigen;Heliu;2;50000
193;10;Câți cromozomi au celulele sexuale umane?;23;46;22;44;1;50000
194;10;Ce proces duce la formarea acizilor în atmosferă?;Oxidarea SO₂;Evaporarea apei;Fotosinteză;Condensare;1;50000
195;10;Care lege leagă intensitatea curentului de tensiune?;Legea lui Coulomb;Legea lui Ohm;Legea lui Ampère;Legea lui Faraday;2;50000
196;10;Ce element este utilizat în reacțiile de fuziune termonucleară?;Uraniu;Hidrogen (deuteriu/tritiu);Fier;Plumb;2;50000
197;10;Ce proces are loc la formarea ARN-ului mesager (mARN)?;Replicare;Transcripție;Translație;Mutație;2;50000
198;10;Care este cel mai adânc ocean?;Atlantic;Pacific;Indian;Arctic;2;50000
199;10;Care lege descrie mișcarea planetelor?;Legea lui Newton;Legile lui Kepler;Legea lui Galilei;Teoria lui Einstein;2;50000
200;10;Ce proces este izoterm?;Proces la temperatură constantă;Proces la presiune constantă;Proces cu masă variabilă;Proces de încălzire;1;50000
201;11;Ce proces descrie fisiunea nucleului de uraniu?;Dezintegrare alfa;Fisiune nucleară;Fotosinteză;Difuzie;2;100000
202;11;Ce element are 92 de protoni?;Plutoniu;Uraniu;Toriu;Radiu;2;100000
203;11;Cum se numește procesul de fuziune a nucleelor ușoare?;Radioactivitate;Fuziune termonucleară;Disociere;Ionizare;2;100000
204;11;Ce particulă mediază interacțiunea electromagnetică?;Gluon;Foton;Bozonul Higgs;Neutrin;2;100000
205;11;Care lege descrie spectrul radiației corpului negru?;Legea lui Planck;Legea lui Boyle;Legea lui Coulomb;Legea lui Ohm;1;100000
206;11;Câte faze are ciclul celular?;2;3;4;5;3;100000
207;11;Ce proces are loc în ribozomi?;Sinteza proteinelor;Respirație;Fotosinteză;Diviziunea nucleului;1;100000
208;11;Care este cel mai greu element natural stabil?;Bismut;Uraniu;Plumb;Mercur;1;100000
209;11;Ce proces descrie dezintegrarea neutronului?;Dezintegrare beta;Dezintegrare alfa;Radiație gamma;Fotosinteză;1;100000
210;11;Cine a formulat ecuațiile câmpului electromagnetic?;Maxwell;Newton;Kepler;Arhimede;1;100000
211;11;Câți atomi de carbon conține glucoza?;4;5;6;7;3;100000
212;11;Ce proces stă la baza răspunsului imunitar?;Fotosinteză;Reacția antigen-anticorp;Difuzie;Oxidare;2;100000
213;11;Ce organit conține propriul ADN?;Ribozom;Mitocondrie;Lizozom;Aparatul Golgi;2;100000
214;11;Care lege leagă frecvența și energia fotonului?;Legea lui Planck;Legea lui Ohm;Legea lui Arhimede;Legea lui Newton;1;100000
215;11;Ce este homeostazia?;Distrugerea celulelor;Menținerea echilibrului intern al organismului;Diviziunea celulară;Evaporare;2;100000
216;11;Ce element este utilizat în semiconductori?;Siliciu;Fier;Cupru;Au;1;100000
217;11;Ce proces are loc în meioză?;Dublarea celulelor;Formarea gameților;Fotosinteză;Oxidare;2;100000
218;11;Care lege descrie conservarea energiei?;Prima lege a termodinamicii;Legea lui Ohm;Legea lui Newton;Legea lui Arhimede;1;100000
219;11;Care tip de stele sunt cele mai fierbinți?;Pitice roșii;Giganți albaștri;Stele galbene;Pitice albe;2;100000
220;11;Ce proces contribuie la formarea reliefului Pământului?;Fotosinteză;Tectonica plăcilor;Evaporare;Difuzie;2;100000
221;12;Ce element are cea mai mare densitate?;Osmiu;Uraniu;Plumb;Platină;1;150000
222;12;Ce descrie încurcarea cuantică?;Mecanica clasică;Corelarea stărilor cuantice;Gravitație;Transfer de căldură;2;150000
223;12;Care lege explică efectul fotoelectric?;Legea lui Einstein;Legea lui Newton;Legea lui Ohm;Legea lui Coulomb;1;150000
224;12;Ce proces are loc în timpul splicingului ARN?;Îndepărtarea intronilor;Diviziunea nucleului;Fotosinteză;Oxidare;1;150000
225;12;Ce element stă la baza vieții organice?;Azot;Carbon;Oxigen;Hidrogen;2;150000
226;12;Ce proces are loc în faza întunecată a fotosintezei?;Sinteza glucozei;Eliberarea oxigenului;Respirație;Evaporare;1;150000
227;12;Care lege descrie distribuția moleculelor după energie?;Legea lui Boltzmann;Legea lui Ohm;Legea lui Newton;Legea lui Planck;1;150000
228;12;Ce organ reglează sistemul endocrin?;Hipofiză;Ficat;Inimă;Rinichi;1;150000
229;12;Ce este convecția?;Transferul căldurii prin mișcarea fluidelor;Evaporare;Difuzie;Compresie;1;150000
230;12;Ce element este utilizat în bateriile nucleare?;Plutoniu;Uraniu;Plumb;Fier;1;150000
231;12;Ce proces are loc în timpul crossing-over-ului?;Schimbul de segmente cromozomiale;Diviziunea celulară;Fotosinteză;Oxidare;1;150000
232;12;Care lege descrie mișcarea corpurilor în sisteme neinerțiale?;Legea lui Newton;Teoria lui Einstein;Forța Coriolis;Legea lui Pascal;3;150000
233;12;Ce proces contribuie la îmbătrânirea celulelor?;Scurtarea telomerelor;Fotosinteză;Difuzie;Hidroliză;1;150000
234;12;Care este cel mai abundent element din Univers?;Heliu;Hidrogen;Oxigen;Carbon;2;150000
235;12;Ce se întâmplă în timpul dezintegrării beta-plus (β⁺)?;Protonul se transformă în neutron;Neutronul dispare;Evaporare;Difuzie;1;150000
236;12;Care lege descrie entropia?;A doua lege a termodinamicii;Legea lui Ohm;Legea lui Newton;Legea lui Arhimede;1;150000
237;12;Ce proces stă la baza memoriei?;Plasticitatea sinaptică;Fotosinteză;Evaporare;Difuzie;1;150000
238;12;Ce element a fost utilizat istoric în supraconductori?;Cupru;Litiu;Mercur;Fier;3;150000
239;12;Ce proces are loc în timpul transcripției?;Sinteza ARN;Sinteza ADN;Diviziunea celulară;Oxidare;1;150000
240;12;Ce teorie descrie gravitația la viteze și mase mari?;Teoria relativității generale;Legea lui Newton;Legea lui Ohm;Legea lui Coulomb;1;150000
241;13;Ce proces descrie descompunerea ATP?;Hidroliza cu eliberare de energie;Fotosinteză;Difuzie;Oxidare;1;250000
242;13;Care element are cea mai mare masă atomică dintre elementele naturale stabile?;Plumb;Bismut;Uraniu;Toriu;2;250000
243;13;Care lege descrie conservarea impulsului?;A doua lege a lui Newton;Legea conservării impulsului;Legea lui Ohm;Legea lui Pascal;2;250000
244;13;Ce proces are loc în telofaza mitozei?;Dezintegrarea nucleului;Formarea învelișurilor nucleare;Fotosinteză;Replicarea ADN-ului;2;250000
245;13;Ce tip de legătură se formează între moleculele de apă?;Covalentă;Legătură de hidrogen;Ionică;Metalică;2;250000
246;13;Ce reprezintă coeficientul respirator?;Raportul dintre CO₂ și O₂;Diviziunea celulară;Evaporarea apei;Difuzia gazelor;1;250000
247;13;Care element este principalul component al moleculelor organice, pe lângă carbon?;Azot;Oxigen;Hidrogen;Toate cele enumerate;4;250000
248;13;Ce proces are loc în timpul crossing-over-ului în meioza I?;Schimb de material genetic;Diviziunea nucleului;Fotosinteză;Replicare;1;250000
249;13;Care lege descrie comportamentul gazului ideal?;Legea Boyle-Mariotte;Ecuația Clapeyron-Mendeleev;Legea lui Newton;Legea lui Ohm;2;250000
250;13;Ce proces stă la baza memoriei imunologice?;Anticorpii rămân după infecție;Evaporare;Difuzie;Fotosinteză;1;250000
251;13;Ce organit este responsabil de modificarea și împachetarea proteinelor?;Ribozom;Aparatul Golgi;Nucleu;Lizozom;2;250000
252;13;Ce este osmoreglarea?;Controlul echilibrului apei și al sărurilor;Diviziunea celulară;Oxidare;Fotosinteză;1;250000
253;13;Ce element este utilizat în fuziunea termonucleară din Soare?;Heliu;Hidrogen;Oxigen;Carbon;2;250000
254;13;Ce proces are loc în recombinarea ADN-ului?;Rearanjarea materialului genetic;Evaporare;Difuzie;Hidroliză;1;250000
255;13;Care lege descrie radiația corpului negru?;Legea lui Planck;Legea lui Newton;Legea lui Ohm;Legea lui Coulomb;1;250000
256;13;Ce proces are loc în faza G1 a ciclului celular?;Creșterea celulei;Diviziunea nucleului;Fotosinteză;Meioză;1;250000
257;13;Ce element are configurația electronică 1s² 2s² 2p⁴?;Azot;Oxigen;Carbon;Fluor;2;250000
258;13;Ce proces duce la formarea ATP în mitocondrii?;Fosforilare oxidativă;Fotosinteză;Evaporare;Difuzie;1;250000
259;13;Care lege descrie mișcarea planetelor pe orbite eliptice?;Legea lui Newton;Legile lui Kepler;Legea lui Galilei;Teoria lui Einstein;2;250000
260;13;Ce este apoptoza?;Moarte celulară programată;Diviziune celulară;Creștere;Fotosinteză;1;250000
261;14;Ce proces descrie trecerea electronilor într-o stare excitată?;Ionizare;Excitație cuantică;Difuzie;Hidroliză;2;500000
262;14;Ce element are cea mai mare electronegativitate?;Clor;Fluor;Oxigen;Azot;2;500000
263;14;Care lege descrie liniile spectrale ale hidrogenului?;Modelul lui Bohr;Legea lui Newton;Legea lui Ohm;Legea lui Arhimede;1;500000
264;14;Ce proces stă la baza reacției PCR?;Amplificarea ADN-ului;Fotosinteză;Evaporare;Difuzie;1;500000
265;14;Ce proteină formează structura mușchilor?;Colagen;Actină și miozină;Insulină;Hemoglobină;2;500000
266;14;Ce proces are loc în faza S a ciclului celular?;Sinteza ADN-ului;Diviziunea nucleului;Fotosinteză;Apoptoză;1;500000
267;14;Care lege descrie statistica Fermi-Dirac?;Statistica cuantică a fermionilor;Gravitație;Transfer de căldură;Electroliză;1;500000
268;14;Ce este translația?;Sinteza proteinelor pe baza ARNm;Sinteza ADN-ului;Diviziune celulară;Evaporare;1;500000
269;14;Ce element este baza semiconductorilor?;Germaniu;Siliciu;Fier;Cupru;2;500000
270;14;Ce proces are loc în dezintegrarea izotopică?;Transformarea nucleului;Evaporare;Difuzie;Compresie;1;500000
271;14;Care lege descrie cuantificarea energiei?;Legea lui Planck;Legea lui Ohm;Legea lui Coulomb;Legea lui Newton;1;500000
272;14;Ce proces este responsabil de diferențierea celulară?;Specializarea celulelor;Evaporare;Diviziune;Fotosinteză;1;500000
273;14;Care este elementul cel mai abundent în scoarța terestră?;Oxigen;Siliciu;Aluminiu;Fier;1;500000
274;14;Ce proces are loc în fermentație?;Descompunerea glucozei în absența oxigenului;Fotosinteză;Evaporare;Difuzie;1;500000
