numberOfQuestion;numberOfCategory;question;answer1;answer2;answer3;answer4;correctAnswer;score
128;7;Кто сформулировал законы наследственности?;Мендель;Дарвин;Пастер;Линней;1;5000
129;7;Как называется процесс поглощения воды клеткой?;Осмос;Диффузия;Фотосинтез;Гидролиз;1;5000
130;7;Какая частица в ядре не имеет заряда?;Протон;Нейтрон;Электрон;Ион;2;5000
131;7;Какой металл используется в термометрах (исторически)?;Свинец;Ртуть;Железо;Алюминий;2;5000
132;7;Какой газ образуется при горении углерода?;Кислород;Угарный газ;Углекислый газ;Азот;3;5000
133;7;Кто открыл закон инерции?;Ньютон;Галилей;Эйнштейн;Кеплер;2;5000
134;7;Как называется единица измерения электрического сопротивления?;Ампер;Ом;Ватт;Вольт;2;5000
135;7;Сколько камер имеет сердце млекопитающих?;2;3;4;5;3;5000
136;7;Какой процесс лежит в основе дыхания клеток?;Фотосинтез;Окисление глюкозы;Испарение;Диффузия;2;5000
137;7;Какой элемент самый тяжёлый из стабильных?;Уран;Свинец;Плутоний;Ртуть;2;5000
138;7;Что измеряется в паскалях?;Сила;Давление;Энергия;Масса;2;5000
139;7;Какой континент имеет наибольшее количество стран?;Азия;Африка;Европа;Южная Америка;2;5000
140;7;Какой процесс превращает жидкость в газ?;Конденсация;Испарение;Сублимация;Кристаллизация;2;5000
141;8;Какой закон описывает взаимодействие зарядов?;Ома;Кулона;Фарадея;Ампера;2;10000
142;8;Как называется структура ДНК в виде двойной спирали?;Гелиокс;Двойная спираль;Триплекс;Глобула;2;10000
143;8;Какой элемент образует основу белков?;Углерод;Азот;Кислород;Фосфор;2;10000
144;8;Кто открыл пенициллин?;Флеминг;Пастер;Кох;Мендель;1;10000
145;8;Какой процесс происходит в митохондриях?;Синтез белка;Выработка энергии;Деление ядра;Фотосинтез;2;10000
146;8;Какой газ самый лёгкий?;Кислород;Водород;Азот;Гелий;2;10000
147;8;Сколько пар спинномозговых нервов у человека?;31;30;33;28;1;10000
148;8;Как называется процесс превращения твёрдого вещества в газ?;Испарение;Сублимация;Конденсация;Плавление;2;10000
149;8;Какой элемент обозначается Na?;Калий;Натрий;Азот;Неон;2;10000
150;8;Кто открыл структуру атома?;Резерфорд;Ньютон;Бор;Менделеев;1;10000
151;8;Какой орган регулирует температуру тела?;Печень;Гипоталамус;Почки;Сердце;2;10000
152;8;Какой процесс происходит при делении ядра?;Мейоз;Ядерное деление;Фотосинтез;Диффузия;2;10000
153;8;Что измеряется в герцах?;Сила;Частота;Энергия;Масса;2;10000
154;8;Какой океан самый тёплый в среднем?;Атлантический;Индийский;Тихий;Северный;2;10000
155;8;Какой элемент необходим для костей?;Железо;Кальций;Натрий;Калий;2;10000
156;8;Как называется единица энергии?;Ватт;Джоуль;Ньютон;Ом;2;10000
157;8;Кто открыл радиоактивность?;Беккерель;Резерфорд;Фарадей;Кюри;1;10000
158;8;Какой процесс описывает движение молекул?;Диффузия;Инерция;Гравитация;Магнетизм;1;10000
159;8;Какой витамин синтезируется кожей?;A;B;C;D;4;10000
160;8;Сколько фаз митоза?;2;4;6;8;2;10000
161;9;Какой закон описывает тепловое излучение абсолютно чёрного тела?;Бойля;Планка;Кулона;Ньютона;2;20000
162;9;Какой элемент имеет наибольшую электроотрицательность?;Кислород;Фтор;Азот;Хлор;2;20000
163;9;Какой процесс сопровождается уменьшением энтропии?;Испарение;Кристаллизация;Диффузия;Горение;2;20000
164;9;Кто разработал квантовую теорию?;Планк;Ньютон;Эйнштейн;Фарадей;1;20000
165;9;Какой тип связи в молекуле воды?;Ионная;Ковалентная полярная;Металлическая;Водородная;2;20000
166;9;Сколько аминокислот входит в состав белков человека?;10;20;30;40;2;20000
167;9;Какой органоид отвечает за детоксикацию клетки?;Лизосома;Гладкий ЭПС;Ядро;Рибосома;2;20000
168;9;Какой процесс называется бета-распадом?;Распад ядра с испусканием электрона;Плавление;Испарение;Диффузия;1;20000
169;9;Какой закон связывает давление и температуру газа?;Шарля;Гей-Люссака;Бойля;Ома;2;20000
170;9;Кто открыл нейтрон?;Чедвик;Резерфорд;Бор;Планк;1;20000
171;9;Какой элемент наиболее распространён в земной коре?;Кислород;Кремний;Алюминий;Железо;1;20000
172;9;Какой процесс идёт в фотосинтезе на световой стадии?;Синтез белка;Образование АТФ;Дыхание;Гидролиз;2;20000
173;9;Какой вид излучения имеет наибольшую энергию?;Радиоволны;УФ;Гамма-излучение;Инфракрасное;3;20000
174;9;Сколько нейтронов в углероде-14?;6;7;8;9;3;20000
175;9;Какой процесс называется изотопным распадом?;Химическая реакция;Ядерное превращение;Физическое плавление;Диффузия;2;20000
176;9;Какой элемент используется в ядерных реакторах?;Уран;Железо;Медь;Свинец;1;20000
177;9;Как называется процесс удвоения ДНК?;Транскрипция;Репликация;Трансляция;Мутация;2;20000
178;9;Какая постоянная связана со скоростью света?;Планка;Эйнштейна;Больцмана;Авогадро;2;20000
179;9;Какой океан имеет наибольшую глубину?;Атлантический;Тихий;Индийский;Северный;2;20000
180;9;Какой процесс лежит в основе работы лазера?;Испарение;Стимулированное излучение;Диффузия;Конденсация;2;20000
181;10;Какой закон описывает связь энергии и массы?;Ньютона;Эйнштейна (E=mc^2);Планка;Бора;2;50000
182;10;Какой элемент имеет наибольшую атомную массу среди стабильных?;Свинец;Висмут;Уран;Ртуть;2;50000
183;10;Какой процесс лежит в основе цепной ядерной реакции?;Ионизация;Деление ядер;Слияние атомов;Диффузия;2;50000
184;10;Какой белок переносит кислород в крови?;Альбумин;Гемоглобин;Инсулин;Фибрин;2;50000
185;10;Какой закон описывает давление жидкости на глубине?;Паскаля;Архимеда;Ома;Ньютона;1;50000
186;10;Сколько нуклеотидов в ДНК?;2;3;4;5;3;50000
187;10;Какой процесс происходит в звёздах типа Солнца?;Химическое горение;Термоядерный синтез;Плавление;Окисление;2;50000
188;10;Какой элемент образуется при альфа-распаде?;Уменьшается на 2 протона;Увеличивается масса;Становится газом;Не изменяется;1;50000
189;10;Кто сформулировал принцип неопределённости?;Бор;Гейзенберг;Планк;Эйнштейн;2;50000
190;10;Какой орган регулирует уровень глюкозы?;Печень;Поджелудочная железа;Почки;Сердце;2;50000
191;10;Какой процесс описывает переход электрона между уровнями?;Диффузия;Квантовый переход;Испарение;Реакция;2;50000
192;10;Какой газ имеет наименьшую плотность?;Азот;Водород;Кислород;Гелий;2;50000
193;10;Сколько хромосом у половых клеток человека?;23;46;22;44;1;50000
194;10;Какой процесс приводит к образованию кислоты в атмосфере?;Окисление SO2;Испарение воды;Фотосинтез;Конденсация;1;50000
195;10;Какой закон связывает силу тока и напряжение?;Кулона;Ома;Ампера;Фарадея;2;50000
196;10;Какой элемент используется в термоядерных реакциях?;Уран;Водород (дейтерий/тритий);Железо;Свинец;2;50000
197;10;Какой процесс происходит при образовании мРНК?;Репликация;Транскрипция;Трансляция;Мутация;2;50000
198;10;Какой океан самый глубокий?;Атлантический;Тихий;Индийский;Северный;2;50000
199;10;Какой закон описывает движение планет?;Ньютона;Кеплера;Галилея;Эйнштейна;2;50000
200;10;Какой процесс называется изотермическим?;При постоянной температуре;При постоянном давлении;При изменении массы;При нагреве;1;50000
201;11;Какой процесс описывает деление ядра урана?;Альфа-распад;Ядерное деление;Фотосинтез;Диффузия;2;100000
202;11;Какой элемент имеет 92 протона?;Плутоний;Уран;Торий;Радий;2;100000
203;11;Как называется процесс слияния лёгких ядер?;Радиоактивность;Термоядерный синтез;Диссоциация;Ионизация;2;100000
204;11;Какая частица переносит электромагнитное взаимодействие?;Глюон;Фотон;Бозон Хиггса;Нейтрино;2;100000
205;11;Какой закон описывает спектр излучения абсолютно чёрного тела?;Планка;Бойля;Кулона;Ома;1;100000
206;11;Сколько стадий клеточного цикла?;2;3;4;5;3;100000
207;11;Какой процесс происходит в рибосомах?;Синтез белка;Дыхание;Фотосинтез;Деление ядра;1;100000
208;11;Какой элемент самый тяжёлый из природных стабильных?;Висмут;Уран;Свинец;Ртуть;1;100000
209;11;Какой процесс описывает распад нейтрона?;Бета-распад;Альфа-распад;Гамма-излучение;Фотосинтез;1;100000
210;11;Какой закон описывает электромагнитное поле?;Максвелл;Ньютон;Кеплер;Архимед;1;100000
211;11;Сколько атомов углерода в глюкозе?;4;5;6;7;3;100000
212;11;Какой процесс лежит в основе иммунного ответа?;Фотосинтез;Антиген-антитело реакция;Диффузия;Окисление;2;100000
213;11;Какой органоид содержит собственную ДНК?;Рибосома;Митохондрия;Лизосома;Гольджи;2;100000
214;11;Какой закон связывает частоту и энергию фотона?;Планка;Ома;Архимеда;Ньютона;1;100000
215;11;Какой процесс называется гомеостазом?;Разрушение клеток;Поддержание равновесия организма;Деление клеток;Испарение;2;100000
216;11;Какой элемент используется в полупроводниках?;Кремний;Железо;Медь;Золото;1;100000
217;11;Какой процесс происходит при мейозе?;Удвоение клеток;Образование гамет;Фотосинтез;Окисление;2;100000
218;11;Какой закон описывает сохранение энергии?;Первый закон термодинамики;Закон Ома;Закон Ньютона;Закон Архимеда;1;100000
219;11;Какой тип звёзд наиболее горячий?;Красные карлики;Синие гиганты;Жёлтые звёзды;Белые карлики;2;100000
220;11;Какой процесс приводит к образованию рельефа Земли?;Фотосинтез;Тектоника плит;Испарение;Диффузия;2;100000
221;12;Какой элемент имеет самую высокую плотность?;Осмий;Уран;Свинец;Платина;1;150000
222;12;Какой процесс описывает квантовую запутанность?;Классическая механика;Корреляция квантовых состояний;Гравитация;Теплопередача;2;150000
223;12;Какой закон описывает фотоэффект?;Эйнштейна;Ньютона;Ома;Кулона;1;150000
224;12;Какой процесс происходит при сплайсинге РНК?;Удаление интронов;Деление ядра;Фотосинтез;Окисление;1;150000
225;12;Какой элемент является основой органической жизни?;Азот;Углерод;Кислород;Водород;2;150000
226;12;Какой процесс происходит в темновой фазе фотосинтеза?;Синтез глюкозы;Выделение кислорода;Дыхание;Испарение;1;150000
227;12;Какой закон описывает распределение молекул по энергиям?;Больцмана;Ома;Ньютона;Планка;1;150000
228;12;Какой орган регулирует эндокринную систему?;Гипофиз;Печень;Сердце;Почки;1;150000
229;12;Какой процесс называется конвекцией?;Передача тепла потоками жидкости;Испарение;Диффузия;Сжатие;1;150000
230;12;Какой элемент используется в ядерных батареях?;Плутоний;Уран;Свинец;Железо;1;150000
231;12;Какой процесс происходит при кроссинговере?;Обмен участками хромосом;Деление клетки;Фотосинтез;Окисление;1;150000
232;12;Какой закон описывает движение тел в неинерциальных системах?;Ньютона;Эйнштейна;Кориолиса;Паскаля;3;150000
233;12;Какой процесс отвечает за старение клеток?;Теломеразное укорачивание;Фотосинтез;Диффузия;Гидролиз;1;150000
234;12;Какой элемент наиболее распространён во Вселенной?;Гелий;Водород;Кислород;Углерод;2;150000
235;12;Какой процесс происходит при ?+-распаде?;Протон превращается в нейтрон;Нейтрон исчезает;Испарение;Диффузия;1;150000
236;12;Какой закон описывает энтропию?;Второй закон термодинамики;Ома;Ньютона;Архимеда;1;150000
237;12;Какой процесс лежит в основе памяти?;Синаптическая пластичность;Фотосинтез;Испарение;Диффузия;1;150000
238;12;Какой элемент используется в сверхпроводниках?;Медь;Литий;Ртуть;Железо;3;150000
239;12;Какой процесс происходит при транскрипции?;Синтез РНК;Синтез ДНК;Деление клетки;Окисление;1;150000
240;12;Какой закон описывает гравитацию на больших скоростях?;Ньютона;Общая теория относительности;Ома;Кулона;2;150000
241;13;Какой процесс описывает расщепление ATP?;Гидролиз с высвобождением энергии;Фотосинтез;Диффузия;Окисление;1;250000
242;13;Какой элемент имеет наибольшую атомную массу среди природных стабильных?;Свинец;Висмут;Уран;Торий;2;250000
243;13;Какой закон описывает сохранение импульса?;Ньютона второй закон;Закон сохранения импульса;Закон Ома;Закон Паскаля;2;250000
244;13;Какой процесс происходит в телофазе митоза?;Разрушение ядра;Формирование ядерных оболочек;Фотосинтез;Репликация ДНК;2;250000
245;13;Какой тип связи образуется между молекулами воды?;Ковалентная;Водородная;Ионная;Металлическая;2;250000
246;13;Какой процесс определяет дыхательный коэффициент?;Соотношение CO2 к O2;Деление клеток;Испарение воды;Диффузия газов;1;250000
247;13;Какой элемент является основным в органических молекулах кроме углерода?;Азот;Кислород;Водород;Все перечисленные;4;250000
248;13;Какой процесс происходит при кроссинговере в мейозе I?;Обмен генетическим материалом;Деление ядра;Фотосинтез;Репликация;1;250000
249;13;Какой закон описывает поведение идеального газа?;Бойля-Мариотта;Менделеева-Клапейрона;Ньютона;Ома;2;250000
250;13;Какой процесс лежит в основе иммунологической памяти?;Антитела сохраняются после инфекции;Испарение;Диффузия;Фотосинтез;1;250000
251;13;Какой органоид отвечает за упаковку белков?;Рибосома;Аппарат Гольджи;Ядро;Лизосома;2;250000
252;13;Какой процесс называется осморегуляцией?;Контроль водно-солевого баланса;Деление клеток;Окисление;Фотосинтез;1;250000
253;13;Какой элемент используется в термоядерном синтезе Солнца?;Гелий;Водород;Кислород;Углерод;2;250000
254;13;Какой процесс происходит при рекомбинации ДНК?;Перестройка генетического материала;Испарение;Диффузия;Гидролиз;1;250000
255;13;Какой закон описывает излучение чёрного тела?;Планка;Ньютона;Ома;Кулона;1;250000
256;13;Какой процесс происходит в G1 фазе клеточного цикла?;Рост клетки;Деление ядра;Фотосинтез;Мейоз;1;250000
257;13;Какой элемент имеет конфигурацию 1s? 2s? 2p??;Азот;Кислород;Углерод;Фтор;2;250000
258;13;Какой процесс приводит к образованию АТФ в митохондриях?;Окислительное фосфорилирование;Фотосинтез;Испарение;Диффузия;1;250000
259;13;Какой закон описывает движение планет в эллиптических орбитах?;Ньютона;Кеплера;Галилея;Эйнштейна;2;250000
260;13;Какой процесс называется апоптозом?;Программируемая гибель клетки;Деление клетки;Рост;Фотосинтез;1;250000
261;14;Какой процесс описывает переход электронов в возбужденное состояние?;Ионизация;Квантовое возбуждение;Диффузия;Гидролиз;2;500000
262;14;Какой элемент имеет наибольшую электроотрицательность?;Хлор;Фтор;Кислород;Азот;2;500000
263;14;Какой закон описывает спектральные линии водорода?;Бора;Ньютона;Ома;Архимеда;1;500000
264;14;Какой процесс лежит в основе ПЦР (PCR)?;Амплификация ДНК;Фотосинтез;Испарение;Диффузия;1;500000
265;14;Какой белок образует структуру мышц?;Коллаген;Актин и миозин;Инсулин;Гемоглобин;2;500000
266;14;Какой процесс происходит в S-фазе клеточного цикла?;Синтез ДНК;Деление ядра;Фотосинтез;Апоптоз;1;500000
267;14;Какой закон описывает статистику Ферми-Дирака?;Квантовая статистика фермионов;Гравитация;Теплопередача;Электролиз;1;500000
268;14;Какой процесс называется трансляцией?;Синтез белка по мРНК;Синтез ДНК;Деление клетки;Испарение;1;500000
269;14;Какой элемент используется как основа полупроводников?;Германий;Кремний;Железо;Медь;2;500000
270;14;Какой процесс происходит при изотопном распаде?;Изменение ядра;Испарение;Диффузия;Сжатие;1;500000
271;14;Какой закон описывает квантование энергии?;Планка;Ома;Кулона;Ньютона;1;500000
272;14;Какой процесс отвечает за дифференцировку клеток?;Специализация клеток;Испарение;Деление;Фотосинтез;1;500000
273;14;Какой элемент наиболее распространён в земной коре?;Кислород;Кремний;Алюминий;Железо;1;500000
274;14;Какой процесс происходит при ферментации?;Бескислородное расщепление глюкозы;Фотосинтез;Испарение;Диффузия;1;500000
275;14;Какой закон описывает фотоны как кванты света?;Эйнштейна;Ньютона;Ома;Архимеда;1;500000
276;14;Какой процесс происходит в G2 фазе?;Подготовка к делению;Фотосинтез;Испарение;Диффузия;1;500000
277;14;Какой элемент имеет наибольшее число изотопов?;Уран;Свинец;Кислород;Азот;1;500000
278;14;Какой процесс связан с экспрессией генов?;Синтез белка;Испарение;Диффузия;Плавление;1;500000
279;14;Какой закон описывает термодинамическое равновесие?;Нулевой закон термодинамики;Ома;Кулона;Ньютона;1;500000
280;14;Какой процесс описывает нарушение симметрии в квантовых системах?;Декогеренция;Спонтанное нарушение симметрии;Диффузия;Ионизация;2;500000
281;15;Какой закон описывает связь энтропии и информации?;Больцмана;Шеннона;Ньютона;Ома;2;1000000
282;15;Какой процесс лежит в основе CRISPR?;Редактирование генома;Фотосинтез;Испарение;Диффузия;1;1000000
283;15;Какой элемент имеет наибольшую энергию ионизации?;Неон;Фтор;Гелий;Азот;3;1000000
284;15;Какой процесс описывает квантовую суперпозицию?;Состояние одновременно нескольких состояний;Испарение;Деление клетки;Гравитация;1;1000000
285;15;Какой закон описывает взаимодействие бозонов Хиггса?;Стандартная модель;Ньютона;Ома;Кеплера;1;1000000
286;15;Какой процесс происходит при нейтринной эмиссии в звездах?;Ядерные реакции;Фотосинтез;Диффузия;Испарение;1;1000000
287;15;Какой элемент является наиболее стабильным из трансурановых?;Плутоний;Кюрий;Лоуренсий;Нептуний;1;1000000
288;15;Какой процесс описывает коллапс волновой функции?;Измерение квантовой системы;Испарение;Деление клетки;Гидролиз;1;1000000
289;15;Какой закон описывает инфляционную модель Вселенной?;Космологическая инфляция;Ньютона;Ома;Паскаля;1;1000000
290;15;Какой процесс происходит при аннигиляции частиц?;Превращение в энергию;Испарение;Диффузия;Деление клеток;1;1000000
291;15;Какой элемент имеет максимальную плотность ядра?;Уран;Нейтронная материя;Свинец;Железо;2;1000000
292;15;Какой процесс описывает квантовую запутанность?;Корреляция состояний на расстоянии;Испарение;Диффузия;Гравитация;1;1000000
